CustomerID,Cluster
1,3
2,3
3,4
4,3
5,3
6,3
7,4
8,3
9,4
10,3
11,4
12,3
13,4
14,3
15,4
16,3
17,4
18,3
19,4
20,3
21,4
22,3
23,4
24,3
25,4
26,3
27,4
28,3
29,4
30,3
31,4
32,3
33,4
34,3
35,4
36,3
37,4
38,3
39,4
40,3
41,2
42,3
43,4
44,3
45,4
46,3
47,2
48,3
49,3
50,3
51,2
52,3
53,3
54,2
55,2
56,2
57,2
58,2
59,3
60,2
61,2
62,3
63,2
64,2
65,2
66,3
67,2
68,2
69,3
70,3
71,2
72,2
73,2
74,2
75,2
76,3
77,2
78,2
79,3
80,2
81,2
82,3
83,2
84,2
85,3
86,2
87,2
88,3
89,3
90,2
91,2
92,3
93,2
94,2
95,3
96,3
97,2
98,3
99,2
100,3
101,3
102,2
103,2
104,3
105,2
106,3
107,2
108,2
109,2
110,2
111,2
112,3
113,2
114,3
115,3
116,3
117,2
118,2
119,2
120,2
121,3
122,0
123,1
124,1
125,0
126,1
127,0
128,1
129,0
130,1
131,0
132,1
133,0
134,1
135,0
136,1
137,0
138,1
139,0
140,1
141,0
142,1
143,0
144,1
145,0
146,1
147,0
148,1
149,0
150,1
151,0
152,1
153,0
154,1
155,0
156,1
157,0
158,1
159,0
160,1
161,2
162,1
163,0
164,1
165,0
166,1
167,0
168,1
169,0
170,1
171,0
172,1
173,0
174,1
175,0
176,1
177,0
178,1
179,0
180,1
181,0
182,1
183,0
184,1
185,0
186,1
187,0
188,1
189,0
190,1
191,0
192,1
193,0
194,1
195,0
196,1
197,0
198,1
199,0
200,1
